Field_Group,Academic_Field,Year_Level,Year_original,Q01_GenC,Q02_UndA,Q03_UseA,Q04_SolP,Q05_PedU,Q06_GroB,Q07_IntL,Q08_EmoB,Q09_NeedS,Q10_ValU,Q11_UrgE,Q12_ManI
Edu,화학교육과,2학년,2학년,4,5,6,5,6,5,4,5,5,5,5,5
Edu,화학교육과,3학년,3학년,4,4,4,5,5,5,4,1,4,5,3,2
Edu,화학교육과,4학년,4학년,5,5,5,5,5,5,3,4,4,5,2,4
Edu,화학교육과,졸업생,졸업생 (현장교사),6,6,6,6,6,6,6,1,6,6,6,6
Edu,화학교육과,졸업생,졸업생 (임용준비중),4,4,4,4,4,5,2,4,2,5,2,1
Edu,화학교육과,졸업생,졸업생 (임용준비중),2,2,3,3,3,4,5,2,5,4,4,3
Edu,화학교육과,졸업생,졸업생 (임용준비중),4,4,4,5,6,4,4,1,6,4,5,5
Edu,화학교육과,졸업생,졸업생 (임용준비중),4,5,5,4,6,6,4,3,4,4,5,3
Edu,화학교육과,졸업생,졸업생 (임용준비중),6,5,6,6,6,6,6,1,6,6,6,5
ECS, AI정보공학과,2학년,2학년,4,5,6,5,6,6,6,1,6,6,6,5
ECS, AI정보공학과,4학년,4학년,4,3,4,3,4,4,5,2,3,6,6,6
ECS, AI정보공학과,4학년,4학년,5,4,4,4,4,4,5,2,5,4,5,4
ECS,컴퓨터공학과,2학년,2학년,4,4,4,5,5,6,6,2,4,5,5,4
ECS, AI정보공학과,1학년,1학년,4,4,4,5,5,5,5,1,4,3,4,4
ECS, AI정보공학과,3학년,3학년,4,5,4,5,6,6,6,1,6,6,6,6
ECS, AI정보공학과,3학년,3학년,4,3,3,3,5,5,5,2,6,4,6,6
ECS, AI정보공학과,4학년,4학년,4,4,4,4,4,4,6,3,6,6,6,6
ECS,컴퓨터공학과,4학년,4학년,2,3,3,4,6,6,6,3,3,6,5,4
ECS,컴퓨터공학,졸업생,대학원생,3,4,4,4,4,4,4,3,4,4,5,4
ECS,고분자공학과,4학년,4학년,6,6,6,5,5,5,6,6,6,6,6,5
ECS, AI정보공학과,3학년,3학년,5,6,6,6,6,6,6,2,3,5,5,5
ECS,컴퓨터공학과,졸업생,대학원생,4,4,4,3,5,5,3,4,4,3,4,5
